ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_region,municipality,iata_code
UTSB,medium_airport,Bukhara International Airport,39.775002,64.483299,751.0,AS,UZ-BU,Bukhara,BHK
UTSK,small_airport,Karshi Airport,38.802246000000004,65.77306800000001,1230.0,AS,UZ-QA,Karshi,KSQ
UTSN,small_airport,Sugraly Airport,41.613898999999996,64.2332,1396.0,AS,UZ-NW,Zarafshan,AFS
UTSS,medium_airport,Samarkand Airport,39.70050048828125,66.98380279541016,2224.0,AS,UZ-SA,Samarkand,SKD
UTST,medium_airport,Termez Airport,37.287261,67.311869,1027.0,AS,UZ-SU,Termez,TMJ
UTTT,large_airport,Tashkent International Airport,41.257900238000005,69.2811965942,1417.0,AS,UZ-TO,Tashkent,TAS
UUBA,medium_airport,Kostroma Sokerkino Airport,57.7969017029,41.0194015503,446.0,EU,RU-KOS,Kostroma,KMW
UUBB,closed,Bykovo Airport,55.617199,38.060001,427.0,EU,RU-MOS,Moscow,BKA
UUBC,medium_airport,Grabtsevo Airport,54.5499992371,36.3666687012,656.0,EU,RU-KLU,Kaluga,KLF
UUBI,medium_airport,Ivanovo South Airport,56.93939971923828,40.94079971313477,410.0,EU,RU-IVA,Ivanovo,IWA
UUBK,medium_airport,Staroselye Airport,58.10419845581055,38.92940139770508,423.0,EU,RU-YAR,Rybinsk,RYB
UUBP,medium_airport,Bryansk Airport,53.214199,34.176398999999996,663.0,EU,RU-BRY,Bryansk,BZK
UUBW,large_airport,Zhukovsky International Airport,55.553298999999996,38.150002,377.0,EU,RU-MOS,Moscow,ZIA
UUDD,large_airport,Domodedovo International Airport,55.40879821777344,37.90629959106445,588.0,EU,RU-MOS,Moscow,DME
UUDL,small_airport,Tunoshna Airport,57.560699,40.157398,287.0,EU,RU-YAR,Tunoshna,IAR
UUEE,large_airport,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU-MOS,Moscow,SVO
UUEM,medium_airport,Migalovo Air Base,56.82469940185547,35.7577018737793,469.0,EU,RU-TVE,Tver,KLD
UUMO,medium_airport,Ostafyevo International Airport,55.511667,37.507222,568.0,EU,RU-MOS,Moscow,OSF
UUMU,medium_airport,Chkalovskiy Air Base,55.8783,38.061699,499.0,EU,RU-MOS,Moscow,CKL
UUOB,medium_airport,Belgorod International Airport,50.643798828125,36.5900993347168,735.0,EU,RU-BEL,Belgorod,EGO
UUOK,medium_airport,Kursk East Airport,51.7505989074707,36.29560089111328,686.0,EU,RU-KRS,Kursk,URS
UUOL,medium_airport,Lipetsk Airport,52.70280075073242,39.53779983520508,584.0,EU,RU-LIP,Lipetsk,LPK
UUOO,medium_airport,Voronezh International Airport,51.81420135498047,39.22959899902344,514.0,EU,RU-VOR,Voronezh,VOZ
UUOR,medium_airport,Oryol Yuzhny Airport,52.934700012200004,36.002201080300004,656.0,EU,RU-ORL,Orel,OEL
UUOT,medium_airport,Donskoye Airport,52.806098937988004,41.482799530029,413.0,EU,RU-TAM,Tambov,TBW
UUU,small_airport,Manumu Airport,-9.0746,147.5735,1800.0,OC,PG-CPM,Manumu,UUU
